Date,SP500
2/23/2026,6837.75
2/20/2026,6909.51
2/19/2026,6861.89
2/18/2026,6881.31
2/17/2026,6843.22
2/13/2026,6836.17
2/12/2026,6832.76
2/11/2026,6941.47
2/10/2026,6941.81
2/9/2026,6964.82
2/6/2026,6932.3
2/5/2026,6798.4
2/4/2026,6882.72
2/3/2026,6917.81
2/2/2026,6976.44
1/30/2026,6939.03
1/29/2026,6969.01
1/28/2026,6978.03
1/27/2026,6978.6
1/26/2026,6950.23
1/23/2026,6915.61
1/22/2026,6913.35
1/21/2026,6875.62
1/20/2026,6796.86
1/16/2026,6940.01
1/15/2026,6944.47
1/14/2026,6926.6
1/13/2026,6963.74
1/12/2026,6977.27
1/9/2026,6966.28
1/8/2026,6921.46
1/7/2026,6920.93
1/6/2026,6944.82
1/5/2026,6902.05
1/2/2026,6858.47
12/31/2025,6845.5
12/30/2025,6896.24
12/29/2025,6905.74
12/26/2025,6929.94
12/24/2025,6932.05
12/23/2025,6909.79
12/22/2025,6878.49
12/19/2025,6834.5
12/18/2025,6774.76
12/17/2025,6721.43
12/16/2025,6800.26
12/15/2025,6816.51
12/12/2025,6827.41
12/11/2025,6901
12/10/2025,6886.68
12/9/2025,6840.51
12/8/2025,6846.51
12/5/2025,6870.4
12/4/2025,6857.12
12/3/2025,6849.72
12/2/2025,6829.37
12/1/2025,6812.63
11/28/2025,6849.09
11/26/2025,6812.61
11/25/2025,6765.88
11/24/2025,6705.12
11/21/2025,6602.99
11/20/2025,6538.76
11/19/2025,6642.16
11/18/2025,6617.32
11/17/2025,6672.41
11/14/2025,6734.11
11/13/2025,6737.49
11/12/2025,6850.92
11/11/2025,6846.61
11/10/2025,6832.43
11/7/2025,6728.8
11/6/2025,6720.32
11/5/2025,6796.29
11/4/2025,6771.55
11/3/2025,6851.97
10/31/2025,6840.2
10/30/2025,6822.34
10/29/2025,6890.59
10/28/2025,6890.89
10/27/2025,6875.16
10/24/2025,6791.69
10/23/2025,6738.44
10/22/2025,6699.4
10/21/2025,6735.35
10/20/2025,6735.13
10/17/2025,6664.01
10/16/2025,6629.07
10/15/2025,6671.06
10/14/2025,6644.31
10/13/2025,6654.72
10/10/2025,6552.51
10/9/2025,6735.11
10/8/2025,6753.72
10/7/2025,6714.59
10/6/2025,6740.28
10/3/2025,6715.79
10/2/2025,6715.35
10/1/2025,6711.2
9/30/2025,6688.46
9/29/2025,6661.21
9/26/2025,6643.7
9/25/2025,6604.72
9/24/2025,6637.97
9/23/2025,6656.92
9/22/2025,6693.75
9/19/2025,6664.36
9/18/2025,6631.96
9/17/2025,6600.35
9/16/2025,6606.76
9/15/2025,6615.28
9/12/2025,6584.29
9/11/2025,6587.47
9/10/2025,6532.04
9/9/2025,6512.61
9/8/2025,6495.15
9/5/2025,6481.5
9/4/2025,6502.08
9/3/2025,6448.26
9/2/2025,6415.54
8/29/2025,6460.26
8/28/2025,6501.86
8/27/2025,6481.4
8/26/2025,6465.94
8/25/2025,6439.32
8/22/2025,6466.91
8/21/2025,6370.17
8/20/2025,6395.78
8/19/2025,6411.37
8/18/2025,6449.15
8/15/2025,6449.8
8/14/2025,6468.54
8/13/2025,6466.58
8/12/2025,6445.76
8/11/2025,6373.45
8/8/2025,6389.45
8/7/2025,6340
8/6/2025,6345.06
8/5/2025,6299.19
8/4/2025,6329.94
8/1/2025,6238.01
7/31/2025,6339.39
7/30/2025,6362.9
7/29/2025,6370.86
7/28/2025,6389.77
7/25/2025,6388.64
7/24/2025,6363.35
7/23/2025,6358.91
7/22/2025,6309.62
7/21/2025,6305.6
7/18/2025,6296.79
7/17/2025,6297.36
7/16/2025,6263.7
7/15/2025,6243.76
7/14/2025,6268.56
7/11/2025,6259.75
7/10/2025,6280.46
7/9/2025,6263.26
7/8/2025,6225.52
7/7/2025,6229.98
7/3/2025,6279.35
7/2/2025,6227.42
7/1/2025,6198.01
6/30/2025,6204.95
6/27/2025,6173.07
6/26/2025,6141.02
6/25/2025,6092.16
6/24/2025,6092.18
6/23/2025,6025.17
6/20/2025,5967.84
6/18/2025,5980.87
6/17/2025,5982.72
