Week,diet
2/21/2021,96
2/28/2021,99
3/7/2021,93
3/14/2021,91
3/21/2021,90
3/28/2021,92
4/4/2021,89
4/11/2021,90
4/18/2021,87
4/25/2021,85
5/2/2021,86
5/9/2021,84
5/16/2021,86
5/23/2021,88
5/30/2021,86
6/6/2021,89
6/13/2021,85
6/20/2021,84
6/27/2021,79
7/4/2021,82
7/11/2021,82
7/18/2021,84
7/25/2021,81
8/1/2021,80
8/8/2021,84
8/15/2021,78
8/22/2021,79
8/29/2021,78
9/5/2021,80
9/12/2021,81
9/19/2021,81
9/26/2021,79
10/3/2021,79
10/10/2021,77
10/17/2021,77
10/24/2021,74
10/31/2021,73
11/7/2021,74
11/14/2021,73
11/21/2021,63
11/28/2021,71
12/5/2021,68
12/12/2021,66
12/19/2021,59
12/26/2021,77
1/2/2022,93
1/9/2022,90
1/16/2022,81
1/23/2022,80
1/30/2022,83
2/6/2022,89
2/13/2022,86
2/20/2022,80
2/27/2022,85
3/6/2022,85
3/13/2022,82
3/20/2022,86
3/27/2022,80
4/3/2022,81
4/10/2022,76
4/17/2022,82
4/24/2022,78
5/1/2022,80
5/8/2022,84
5/15/2022,82
5/22/2022,79
5/29/2022,78
6/5/2022,79
6/12/2022,79
6/19/2022,81
6/26/2022,80
7/3/2022,78
7/10/2022,77
7/17/2022,79
7/24/2022,76
7/31/2022,79
8/7/2022,77
8/14/2022,77
8/21/2022,74
8/28/2022,74
9/4/2022,69
9/11/2022,74
9/18/2022,75
9/25/2022,68
10/2/2022,69
10/9/2022,69
10/16/2022,70
10/23/2022,71
10/30/2022,72
11/6/2022,69
11/13/2022,66
11/20/2022,59
11/27/2022,69
12/4/2022,66
12/11/2022,61
12/18/2022,59
12/25/2022,67
1/1/2023,90
1/8/2023,81
1/15/2023,80
1/22/2023,81
1/29/2023,82
2/5/2023,78
2/12/2023,77
2/19/2023,80
2/26/2023,82
3/5/2023,78
3/12/2023,77
3/19/2023,82
3/26/2023,77
4/2/2023,74
4/9/2023,77
4/16/2023,75
4/23/2023,78
4/30/2023,79
5/7/2023,72
5/14/2023,73
5/21/2023,72
5/28/2023,73
6/4/2023,73
6/11/2023,76
6/18/2023,77
6/25/2023,77
7/2/2023,75
7/9/2023,75
7/16/2023,73
7/23/2023,73
7/30/2023,70
8/6/2023,68
8/13/2023,72
8/20/2023,67
8/27/2023,70
9/3/2023,76
9/10/2023,70
9/17/2023,72
9/24/2023,71
10/1/2023,69
10/8/2023,65
10/15/2023,66
10/22/2023,68
10/29/2023,65
11/5/2023,65
11/12/2023,62
11/19/2023,60
11/26/2023,65
12/3/2023,65
12/10/2023,65
12/17/2023,59
12/24/2023,61
12/31/2023,86
1/7/2024,77
1/14/2024,72
1/21/2024,75
1/28/2024,78
2/4/2024,74
2/11/2024,70
2/18/2024,75
2/25/2024,74
3/3/2024,72
3/10/2024,68
3/17/2024,72
3/24/2024,68
3/31/2024,69
4/7/2024,74
4/14/2024,74
4/21/2024,75
4/28/2024,76
5/5/2024,71
5/12/2024,73
5/19/2024,72
5/26/2024,69
6/2/2024,75
6/9/2024,76
6/16/2024,71
6/23/2024,71
6/30/2024,70
7/7/2024,71
7/14/2024,71
7/21/2024,72
7/28/2024,71
8/4/2024,70
8/11/2024,70
8/18/2024,71
8/25/2024,69
9/1/2024,71
9/8/2024,71
9/15/2024,67
9/22/2024,70
9/29/2024,72
10/6/2024,67
10/13/2024,68
10/20/2024,71
10/27/2024,66
11/3/2024,65
11/10/2024,68
11/17/2024,66
11/24/2024,62
12/1/2024,63
12/8/2024,65
12/15/2024,60
12/22/2024,59
12/29/2024,79
1/5/2025,85
1/12/2025,82
1/19/2025,78
1/26/2025,76
2/2/2025,75
2/9/2025,71
2/16/2025,74
2/23/2025,75
3/2/2025,73
3/9/2025,73
3/16/2025,73
3/23/2025,74
3/30/2025,72
4/6/2025,72
4/13/2025,67
4/20/2025,74
4/27/2025,72
5/4/2025,73
5/11/2025,77
5/18/2025,70
5/25/2025,70
6/1/2025,74
6/8/2025,72
6/15/2025,72
6/22/2025,74
6/29/2025,70
7/6/2025,74
7/13/2025,73
7/20/2025,76
7/27/2025,78
8/3/2025,83
8/10/2025,88
8/17/2025,90
8/24/2025,85
8/31/2025,81
9/7/2025,78
9/14/2025,84
9/21/2025,82
9/28/2025,79
10/5/2025,78
10/12/2025,79
10/19/2025,77
10/26/2025,74
11/2/2025,79
11/9/2025,80
11/16/2025,80
11/23/2025,74
11/30/2025,86
12/7/2025,78
12/14/2025,74
12/21/2025,68
12/28/2025,82
1/4/2026,91
1/11/2026,91
1/18/2026,85
1/25/2026,89
2/1/2026,100
2/8/2026,82
2/15/2026,89
2/22/2026,83
